Datacenter,Rack,Server,Interface,MAC Address,Type,Description
DC-Center,CENT-R04,CENT-SRV-054,ens2f0,3C:FD:FE:05:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-054,mgmt0,A0:36:9F:ED:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-055,bmc,A0:36:9F:06:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-055,ens1f0,3C:FD:FE:06:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-055,ens2f0,3C:FD:FE:06:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-055,mgmt0,A0:36:9F:EE:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-056,bmc,A0:36:9F:07:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-056,ens1f0,3C:FD:FE:07:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-056,ens2f0,3C:FD:FE:07:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-056,mgmt0,A0:36:9F:EF:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-057,bmc,A0:36:9F:08:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-057,ens1f0,3C:FD:FE:08:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-057,ens2f0,3C:FD:FE:08:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-057,mgmt0,A0:36:9F:F0:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-058,bmc,A0:36:9F:09:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-058,ens1f0,3C:FD:FE:09:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-058,ens2f0,3C:FD:FE:09:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-058,mgmt0,A0:36:9F:F1:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-059,bmc,A0:36:9F:0A:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-059,ens1f0,3C:FD:FE:0A:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-059,ens2f0,3C:FD:FE:0A:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-059,mgmt0,A0:36:9F:F2:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-060,bmc,A0:36:9F:0B:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-060,ens1f0,3C:FD:FE:0B:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-060,ens2f0,3C:FD:FE:0B:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-060,mgmt0,A0:36:9F:F3:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-061,bmc,A0:36:9F:0C:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-061,ens1f0,3C:FD:FE:0C:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-061,ens2f0,3C:FD:FE:0C:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-061,mgmt0,A0:36:9F:F4:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-062,bmc,A0:36:9F:0D:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-062,ens1f0,3C:FD:FE:0D:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-062,ens2f0,3C:FD:FE:0D:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-062,mgmt0,A0:36:9F:F5:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-063,bmc,A0:36:9F:0E:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-063,ens1f0,3C:FD:FE:0E:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-063,ens2f0,3C:FD:FE:0E:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-063,mgmt0,A0:36:9F:F6:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-064,bmc,A0:36:9F:0F:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-064,ens1f0,3C:FD:FE:0F:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-064,ens2f0,3C:FD:FE:0F:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-064,mgmt0,A0:36:9F:F7:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-065,bmc,A0:36:9F:10:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-065,ens1f0,3C:FD:FE:10:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-065,ens2f0,3C:FD:FE:10:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-065,mgmt0,A0:36:9F:F8:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-066,bmc,A0:36:9F:11:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-066,ens1f0,3C:FD:FE:11:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-066,ens2f0,3C:FD:FE:11:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-066,mgmt0,A0:36:9F:F9:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-067,bmc,A0:36:9F:12:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-067,ens1f0,3C:FD:FE:12:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-067,ens2f0,3C:FD:FE:12:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-067,mgmt0,A0:36:9F:FA:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R04,CENT-SRV-068,bmc,A0:36:9F:13:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R04,CENT-SRV-068,ens1f0,3C:FD:FE:13:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R04,CENT-SRV-068,ens2f0,3C:FD:FE:13:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R04,CENT-SRV-068,mgmt0,A0:36:9F:FB:06:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-069,bmc,A0:36:9F:19:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-069,ens1f0,3C:FD:FE:19:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-069,ens2f0,3C:FD:FE:19:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-069,mgmt0,A0:36:9F:01:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-070,bmc,A0:36:9F:1A:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-070,ens1f0,3C:FD:FE:1A:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-070,ens2f0,3C:FD:FE:1A:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-070,mgmt0,A0:36:9F:02:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-071,bmc,A0:36:9F:1B:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-071,ens1f0,3C:FD:FE:1B:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-071,ens2f0,3C:FD:FE:1B:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-071,mgmt0,A0:36:9F:03:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-072,bmc,A0:36:9F:1C:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-072,ens1f0,3C:FD:FE:1C:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-072,ens2f0,3C:FD:FE:1C:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-072,mgmt0,A0:36:9F:04:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-073,bmc,A0:36:9F:1D:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-073,ens1f0,3C:FD:FE:1D:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-073,ens2f0,3C:FD:FE:1D:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-073,mgmt0,A0:36:9F:05:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-074,bmc,A0:36:9F:1E:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-074,ens1f0,3C:FD:FE:1E:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-074,ens2f0,3C:FD:FE:1E:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-074,mgmt0,A0:36:9F:06:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-075,bmc,A0:36:9F:1F:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-075,ens1f0,3C:FD:FE:1F:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-075,ens2f0,3C:FD:FE:1F:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-075,mgmt0,A0:36:9F:07:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-076,bmc,A0:36:9F:20:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-076,ens1f0,3C:FD:FE:20:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-076,ens2f0,3C:FD:FE:20:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-076,mgmt0,A0:36:9F:08:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-077,bmc,A0:36:9F:21:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-077,ens1f0,3C:FD:FE:21:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-077,ens2f0,3C:FD:FE:21:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-077,mgmt0,A0:36:9F:09:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-078,bmc,A0:36:9F:22:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-078,ens1f0,3C:FD:FE:22:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-078,ens2f0,3C:FD:FE:22:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-078,mgmt0,A0:36:9F:0A:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-079,bmc,A0:36:9F:23:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-079,ens1f0,3C:FD:FE:23:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-079,ens2f0,3C:FD:FE:23:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-079,mgmt0,A0:36:9F:0B:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-080,bmc,A0:36:9F:24:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-080,ens1f0,3C:FD:FE:24:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-080,ens2f0,3C:FD:FE:24:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-080,mgmt0,A0:36:9F:0C:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-081,bmc,A0:36:9F:25:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-081,ens1f0,3C:FD:FE:25:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-081,ens2f0,3C:FD:FE:25:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-081,mgmt0,A0:36:9F:0D:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-082,bmc,A0:36:9F:26:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-082,ens1f0,3C:FD:FE:26:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-082,ens2f0,3C:FD:FE:26:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-082,mgmt0,A0:36:9F:0E:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-083,bmc,A0:36:9F:27:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-083,ens1f0,3C:FD:FE:27:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-083,ens2f0,3C:FD:FE:27:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-083,mgmt0,A0:36:9F:0F:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R05,CENT-SRV-084,bmc,A0:36:9F:28:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R05,CENT-SRV-084,ens1f0,3C:FD:FE:28:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R05,CENT-SRV-084,ens2f0,3C:FD:FE:28:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R05,CENT-SRV-084,mgmt0,A0:36:9F:10:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-085,bmc,A0:36:9F:2E:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-085,ens1f0,3C:FD:FE:2E:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-085,ens2f0,3C:FD:FE:2E:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-085,mgmt0,A0:36:9F:16:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-086,bmc,A0:36:9F:2F:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-086,ens1f0,3C:FD:FE:2F:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-086,ens2f0,3C:FD:FE:2F:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-086,mgmt0,A0:36:9F:17:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-087,bmc,A0:36:9F:30:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-087,ens1f0,3C:FD:FE:30:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-087,ens2f0,3C:FD:FE:30:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-087,mgmt0,A0:36:9F:18:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-088,bmc,A0:36:9F:31:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-088,ens1f0,3C:FD:FE:31:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-088,ens2f0,3C:FD:FE:31:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-088,mgmt0,A0:36:9F:19:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-089,bmc,A0:36:9F:32:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-089,ens1f0,3C:FD:FE:32:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-089,ens2f0,3C:FD:FE:32:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-089,mgmt0,A0:36:9F:1A:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-090,bmc,A0:36:9F:33:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-090,ens1f0,3C:FD:FE:33:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-090,ens2f0,3C:FD:FE:33:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-090,mgmt0,A0:36:9F:1B:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-091,bmc,A0:36:9F:34:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-091,ens1f0,3C:FD:FE:34:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-091,ens2f0,3C:FD:FE:34:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-091,mgmt0,A0:36:9F:1C:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-092,bmc,A0:36:9F:35:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-092,ens1f0,3C:FD:FE:35:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-092,ens2f0,3C:FD:FE:35:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-092,mgmt0,A0:36:9F:1D:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-093,bmc,A0:36:9F:36:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-093,ens1f0,3C:FD:FE:36:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-093,ens2f0,3C:FD:FE:36:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-093,mgmt0,A0:36:9F:1E:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-094,bmc,A0:36:9F:37:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-094,ens1f0,3C:FD:FE:37:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-094,ens2f0,3C:FD:FE:37:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-094,mgmt0,A0:36:9F:1F:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-095,bmc,A0:36:9F:38:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-095,ens1f0,3C:FD:FE:38:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-095,ens2f0,3C:FD:FE:38:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-095,mgmt0,A0:36:9F:20:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-096,bmc,A0:36:9F:39:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-096,ens1f0,3C:FD:FE:39:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-096,ens2f0,3C:FD:FE:39:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-096,mgmt0,A0:36:9F:21:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-097,bmc,A0:36:9F:3A:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-097,ens1f0,3C:FD:FE:3A:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-097,ens2f0,3C:FD:FE:3A:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-097,mgmt0,A0:36:9F:22:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-098,bmc,A0:36:9F:3B:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-098,ens1f0,3C:FD:FE:3B:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-098,ens2f0,3C:FD:FE:3B:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-098,mgmt0,A0:36:9F:23:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-099,bmc,A0:36:9F:3C:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-099,ens1f0,3C:FD:FE:3C:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-099,ens2f0,3C:FD:FE:3C:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-099,mgmt0,A0:36:9F:24:07:00,1000base-t,Management Interface (PCI Card)
DC-Center,CENT-R06,CENT-SRV-100,bmc,A0:36:9F:3D:03:00,1000base-t,BMC Management Interface
DC-Center,CENT-R06,CENT-SRV-100,ens1f0,3C:FD:FE:3D:03:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-Center,CENT-R06,CENT-SRV-100,ens2f0,3C:FD:FE:3D:03:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-Center,CENT-R06,CENT-SRV-100,mgmt0,A0:36:9F:25:07:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-001,bmc,A0:36:9F:BD:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-001,ens1f0,3C:FD:FE:BD:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-001,ens2f0,3C:FD:FE:BD:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-001,mgmt0,A0:36:9F:A5:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-002,bmc,A0:36:9F:BE:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-002,ens1f0,3C:FD:FE:BE:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-002,ens2f0,3C:FD:FE:BE:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-002,mgmt0,A0:36:9F:A6:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-003,bmc,A0:36:9F:BF:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-003,ens1f0,3C:FD:FE:BF:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-003,ens2f0,3C:FD:FE:BF:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-003,mgmt0,A0:36:9F:A7:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-004,bmc,A0:36:9F:C0:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-004,ens1f0,3C:FD:FE:C0:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-004,ens2f0,3C:FD:FE:C0:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-004,mgmt0,A0:36:9F:A8:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-005,bmc,A0:36:9F:C1:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-005,ens1f0,3C:FD:FE:C1:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-005,ens2f0,3C:FD:FE:C1:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-005,mgmt0,A0:36:9F:A9:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-006,bmc,A0:36:9F:C2:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-006,ens1f0,3C:FD:FE:C2:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-006,ens2f0,3C:FD:FE:C2:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-006,mgmt0,A0:36:9F:AA:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-007,bmc,A0:36:9F:C3:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-007,ens1f0,3C:FD:FE:C3:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-007,ens2f0,3C:FD:FE:C3:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-007,mgmt0,A0:36:9F:AB:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-008,bmc,A0:36:9F:C4:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-008,ens1f0,3C:FD:FE:C4:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
